Time (minutes),Latency (smooth)
231.0166667,22.77026596
231.35,22.50725233
231.6833333,22.49347697
232.0166667,22.69253802
232.35,22.79687436
232.6833333,22.79666255
233.0166667,22.80330381
233.35,22.77983674
233.6833333,23.0543675
234.0166667,23.06579624
234.35,22.79210606
234.6833333,22.78540309
235.0166667,22.74439639
235.35,22.84373345
235.6833333,22.84274276
236.0166667,22.74955413
236.35,22.73635249
236.6833333,23.00644685
237.0166667,23.01885043
237.35,22.83067024
237.6833333,22.82781077
238.0166667,22.80757843
238.35,22.90884016
238.6833333,22.91577745
239.0166667,22.80225809
239.35,22.78667481
239.6833333,23.05372038
240.0166667,23.0743163
240.35,22.89170997
240.6833333,22.82163232
241.0166667,22.812968
241.35,22.90456303
241.6833333,22.91425724
242.0166667,22.87480077
242.35,22.86327196
242.6833333,23.1267359
243.0166667,23.14597921
243.35,22.9420081
243.6833333,22.87416784
244.0166667,22.88093168
244.35,23.24105165
244.6833333,23.25771734
245.0166667,23.21565158
245.35,23.20444215
245.6833333,23.2016227
246.0166667,23.27738678
246.35,23.06444614
246.6833333,22.98921493
247.0166667,23.00039182
247.35,23.30085802
247.6833333,23.31635207
248.0166667,23.28239025
248.35,23.26827632
248.6833333,23.26654011
249.0166667,23.342019
249.35,23.5083941
249.6833333,23.45301662
250.0166667,23.46893096
250.35,23.77277366
250.6833333,23.40231655
251.0166667,23.36060019
251.35,23.35705106
251.6833333,23.34535964
252.0166667,23.40842911
252.35,23.58782155
252.6833333,23.52718793
253.0166667,23.52627313
253.35,23.81147127
253.6833333,23.39079524
254.0166667,23.34863441
254.35,23.36260491
254.6833333,23.34745693
255.0166667,23.40531862
255.35,23.11510285
255.6833333,23.06741986
256.0166667,23.06768171
256.35,23.3471709
256.6833333,23.39347543
257.0166667,23.52238544
257.35,23.54206406
257.6833333,23.53175609
258.0166667,23.8538264
258.35,23.35815933
258.6833333,23.36498822
259.0166667,23.37059877
259.35,23.35095268
259.6833333,23.39384068
260.0166667,22.96681943
260.35,22.98637129
260.6833333,22.97972169
261.0166667,23.3018362
261.35,23.30503258
261.6833333,23.34457577
262.0166667,23.35087012
262.35,23.33249741
262.6833333,23.3738777
263.0166667,22.91210158
263.35,22.93659436
263.6833333,22.93477977
264.0166667,23.25608121
264.35,23.2610213
264.6833333,22.83991998
265.0166667,22.85369367
265.35,22.83871581
265.6833333,22.8764369
266.0166667,22.87210641
266.35,22.89710871
266.6833333,22.89831287
267.0166667,23.2176146
267.35,23.24455574
267.6833333,22.81858522
268.0166667,22.83986827
268.35,22.8314708
268.6833333,23.01338331
269.0166667,23.01183474
269.35,23.04274946
269.6833333,23.0496901
270.0166667,23.19823619
270.35,23.22488963
270.6833333,22.78905812
271.0166667,22.81317481
271.35,22.81084486
271.6833333,22.98157381
272.0166667,22.98028041
272.35,22.58415804
272.6833333,22.59625307
273.0166667,22.75301319
273.35,22.78127274
273.6833333,22.77089639
274.0166667,22.79227034
274.35,22.79164658
274.6833333,22.95762891
275.0166667,22.95888978
275.35,22.56618811
275.6833333,22.58340585
276.0166667,22.67007581
276.35,22.69658248
276.6833333,22.68839348
277.0166667,22.71941244
277.35,22.68769467
277.6833333,22.84431802
278.0166667,22.84757944
278.35,22.44874102
278.6833333,22.43702458
279.0166667,22.5339975
279.35,22.56012308
279.6833333,22.55360523
280.0166667,22.73096377
280.35,22.70930962
280.6833333,22.99962129
281.0166667,23.00423698
281.35,22.59978552
281.6833333,22.58943419
282.0166667,22.55703594
282.35,22.69542335
282.6833333,22.69068674
283.0166667,22.46573111
283.35,22.44942399
283.6833333,22.63207035
284.0166667,22.638308
284.35,22.62463437
284.6833333,22.61823328
285.0166667,22.58487353
285.35,22.71176215
285.6833333,22.71237424
286.0166667,22.47017919
286.35,22.45440744
286.6833333,22.64430965
287.0166667,22.6644736
287.35,22.65789155
287.6833333,22.65959856
288.0166667,22.63372149
288.35,22.74272857
288.6833333,22.74347659
289.0166667,22.48406629
289.35,22.47291942
289.6833333,22.67664702
290.0166667,22.69931187
290.35,22.69620138
290.6833333,22.70189699
291.0166667,22.67440964
291.35,22.78153375
291.6833333,22.78895055
292.0166667,22.51573237
292.35,22.50828221
292.6833333,22.72033892
293.0166667,22.74809145
293.35,22.74830326
293.6833333,22.75443834
294.0166667,22.73062687
294.35,22.82642147
294.6833333,22.83668524
295.0166667,22.55089252
295.35,22.5440628
295.6833333,22.76264402
296.0166667,22.79235707
296.35,22.79286576
296.6833333,22.71267445
297.0166667,22.69646156
297.35,23.04371513
297.6833333,23.05779904
298.0166667,22.84757611
298.35,22.84484588
298.6833333,22.82593113
299.0166667,22.9180557
299.35,22.92352365
299.6833333,22.83915695
300.0166667,22.81845096
300.35,23.1057864
300.6833333,23.12147559
301.0166667,22.90289854
301.35,22.85610034
301.6833333,22.84006591
302.0166667,22.93288679
302.35,22.93776517
302.6833333,22.89634985
303.0166667,22.88733611
303.35,23.16826296
303.6833333,23.18750961
304.0166667,23.15327009
304.35,23.11376442
304.6833333,23.11743613
305.0166667,23.20110985
305.35,23.01769129
305.6833333,22.97064875
306.0166667,22.96106212
306.35,23.25288734
306.6833333,23.28196495
307.0166667,23.24260939
307.35,23.18942843
307.6833333,23.19397491
308.0166667,23.26469717
308.35,23.07347822
308.6833333,23.03351974
309.0166667,23.03357895
309.35,23.32115206
309.6833333,23.38850282
310.0166667,23.53394177
310.35,23.47893705
310.6833333,23.48477526
311.0166667,23.80178707
311.35,23.42282156
