Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
505,168.0166667,10,6.957422,23.20746174
506,168.35,10,7.046094,23.5032397
507,168.6833333,11,6.622217,22.08933822
508,169.0166667,11,6.617411,22.07330713
509,169.35,10,6.943573,23.16126645
510,169.6833333,10,7.003498,23.36115474
511,170.0166667,11,6.750998,22.5189054
512,170.35,11,6.617043,22.07207961
513,170.6833333,11,6.624633,22.09739713
514,171.0166667,10,6.970802,23.25209262
515,171.35,10,7.055403,23.53429118
516,171.6833333,11,6.636841,22.13811863
517,172.0166667,11,6.619291,22.07957813
518,172.35,10,6.966201,23.23674534
519,172.6833333,10,7.010574,23.38475773
520,173.0166667,11,6.770432,22.58373024
521,173.35,11,6.630771,22.11787129
522,173.6833333,11,6.629898,22.11495928
523,174.0166667,10,6.992285,23.32375219
524,174.35,10,7.049658,23.51512792
525,174.6833333,11,6.747636,22.50769097
526,175.0166667,11,6.629493,22.11360834
527,175.35,9,6.87269,22.92482621
528,175.6833333,10,7.022148,23.42336444
529,176.0166667,12,7.07603,23.60309545
530,176.35,11,6.644988,22.1652941
531,176.6833333,11,6.632787,22.12459594
532,177.0166667,10,7.014116,23.39657257
533,177.35,10,7.068637,23.57843505
534,177.6833333,11,6.758925,22.54534702
535,178.0166667,11,6.638649,22.14414947
536,178.35,9,6.890729,22.98499784
537,178.6833333,10,7.048343,23.51074155
538,179.0166667,12,7.0868,23.6390203
539,179.35,11,6.661701,22.22104267
540,179.6833333,11,6.64586,22.16820278
541,180.0166667,10,7.040956,23.48610117
542,180.35,12,7.088037,23.64314649
543,180.6833333,11,6.773614,22.59434425
544,181.0166667,11,6.655834,22.20147246
545,181.35,9,6.916929,23.07239163
546,181.6833333,10,7.066819,23.57237086
547,182.0166667,12,7.097116,23.67343077
548,182.35,11,6.685959,22.30195864
549,182.6833333,11,6.657518,22.20708968
550,183.0166667,9,6.986712,23.30516267
551,183.35,12,7.104162,23.6969337
552,183.6833333,12,7.122225,23.75718538
553,184.0166667,11,6.672915,22.25844854
554,184.35,9,6.93877,23.14524537
555,184.6833333,10,7.100445,23.68453512
556,185.0166667,12,7.115976,23.73634096
557,185.35,11,6.763275,22.55985706
558,185.6833333,11,6.675239,22.26620057
559,186.0166667,9,7.007338,23.3739636
560,186.35,12,7.12822,23.77718255
561,186.6833333,12,7.145201,23.83382507
562,187.0166667,11,6.693592,22.32741959
563,187.35,9,6.960637,23.21818583
564,187.6833333,9,7.100932,23.68615958
565,188.0166667,12,7.134252,23.79730313
566,188.35,11,6.782082,22.62259046
567,188.6833333,11,6.689877,22.31502768
568,189.0166667,9,7.046525,23.50467736
569,189.35,12,7.146677,23.83874847
570,189.6833333,12,7.159193,23.88049735
571,190.0166667,11,6.711563,22.38736439
572,190.35,9,6.985739,23.30191709
573,190.6833333,9,7.130249,23.78395056
574,191.0166667,12,7.151111,23.8535387
575,191.35,11,6.781679,22.6212462
576,191.6833333,10,7.200883,24.01956023
577,192.0166667,9,7.069251,23.58048314
578,192.35,12,7.147722,23.84223422
579,192.6833333,12,7.139972,23.816383
580,193.0166667,11,6.69559,22.3340842
581,193.35,9,7.030963,23.45276811
582,193.6833333,12,7.164791,23.89917027
583,194.0166667,12,7.127851,23.7759517
584,194.35,11,6.758533,22.54403945
585,194.6833333,11,6.668429,22.24348486
586,195.0166667,9,7.117148,23.74025033
587,195.35,12,7.127441,23.77458408
588,195.6833333,12,7.112683,23.72535669
589,196.0166667,11,6.675472,22.26697778
590,196.35,12,7.24575,24.16922043
591,196.6833333,12,7.146849,23.8393222
592,197.0166667,12,7.102356,23.69090953
593,197.35,11,6.992347,23.323959
594,197.6833333,11,6.653301,22.19302328
595,198.0166667,9,7.148902,23.84617027
596,198.35,12,7.108037,23.70985931
597,198.6833333,12,7.086645,23.63850327
598,199.0166667,11,6.680268,22.28297551
599,199.35,11,6.639966,22.14854251
600,199.6833333,12,7.136247,23.80395774
601,200.0166667,12,7.081216,23.62039408
602,200.35,11,6.964139,23.22986724
603,200.6833333,11,6.639296,22.14630763
604,201.0166667,12,7.171668,23.92210947
605,201.35,12,7.092937,23.65949113
606,201.6833333,12,7.064687,23.56525927
607,202.0166667,11,6.682122,22.28915979
608,202.35,11,6.62847,22.11019598
609,202.6833333,12,7.12647,23.77134518
610,203.0166667,12,7.06221,23.55699689
611,203.35,12,7.064822,23.56570958
612,203.6833333,11,6.627573,22.10720391
613,204.0166667,11,6.63097,22.11853508
614,204.35,12,7.079801,23.61567415
615,204.6833333,12,7.045874,23.50250586
616,205.0166667,11,6.668913,22.24509931
617,205.35,11,6.619741,22.08107917
618,205.6833333,12,7.110823,23.7191524
619,206.0166667,12,7.045032,23.49969725
620,206.35,11,6.904239,23.03006235
621,206.6833333,11,6.619545,22.08042539
622,207.0166667,11,6.622244,22.08942828
623,207.35,12,7.066546,23.57146023
624,207.6833333,12,7.032486,23.4578483
625,208.0166667,11,6.659201,22.21270356
626,208.35,11,6.613684,22.06087519
627,208.6833333,12,7.112692,23.72538671
628,209.0166667,12,7.03618,23.47017015
629,209.35,12,7.033601,23.46156754
630,209.6833333,11,6.617075,22.07218635
631,210.0166667,11,6.617661,22.07414104
632,210.35,12,7.064549,23.56479895
633,210.6833333,12,7.021879,23.42246715
634,211.0166667,11,6.84,22.81578411
635,211.35,11,6.611164,22.05246938
636,211.6833333,11,6.620928,22.08503858
637,212.0166667,12,7.03493,23.4660006
638,212.35,12,7.023506,23.42789424
639,212.6833333,11,6.637761,22.14118742
640,213.0166667,11,6.613012,22.05863364
641,213.35,12,7.063955,23.56281758
642,213.6833333,12,7.018358,23.41072236
643,214.0166667,11,6.827996,22.77574308
644,214.35,11,6.611469,22.05348675
645,214.6833333,11,6.611724,22.05433734
646,215.0166667,12,7.031864,23.45577353
647,215.35,12,7.017706,23.40854752
648,215.6833333,11,6.637298,22.13964302
649,216.0166667,11,6.609785,22.04786953
650,216.35,12,7.067587,23.57493263
651,216.6833333,10,6.886831,22.97199551
652,217.0166667,11,6.820652,22.75124613
653,217.35,11,6.613914,22.06164239
654,217.6833333,11,6.606154,22.03575782
655,218.0166667,10,6.871916,22.92224443
656,218.35,10,6.922754,23.09182174
657,218.6833333,11,6.639388,22.14661451
658,219.0166667,11,6.606905,22.03826288
659,219.35,12,7.08265,23.62517739
660,219.6833333,10,6.892975,22.99248969
661,220.0166667,10,6.975769,23.26866075
662,220.35,11,6.618219,22.07600233
663,220.6833333,11,6.603651,22.02740871
664,221.0166667,10,6.884043,22.96269575
665,221.35,10,6.932569,23.12456106
666,221.6833333,11,6.646544,22.17048436
667,222.0166667,11,6.607646,22.04073459
668,222.35,10,6.891949,22.98906732
669,222.6833333,10,6.907461,23.04080979
670,223.0166667,10,6.979232,23.28021207
671,223.35,11,6.616106,22.06895412
672,223.6833333,11,6.605017,22.03196519
673,224.0166667,10,6.899131,23.0130239
674,224.35,10,6.937284,23.14028861
675,224.6833333,11,6.76647,22.57051443
676,225.0166667,11,6.60743,22.0400141
677,225.35,11,6.613325,22.0596777
678,225.6833333,10,6.920409,23.08399966
679,226.0166667,10,6.995705,23.33516009
680,226.35,11,6.624435,22.09673667
