Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
650,216.35,16,9.828922,32.78575474
651,216.6833333,16,9.88115,32.95996859
652,217.0166667,17,10.37174,34.59640069
653,217.35,16,9.86791,32.91580471
654,217.6833333,16,9.826022,32.77608138
655,218.0166667,16,9.843328,32.83380798
656,218.35,16,9.952534,33.19807999
657,218.6833333,17,10.38709,34.64760278
658,219.0166667,16,9.836629,32.81146252
659,219.35,16,9.823392,32.76730864
660,219.6833333,16,9.872146,32.92993448
661,220.0166667,17,10.37229,34.59823529
662,220.35,16,9.860246,32.89024035
663,220.6833333,16,9.821373,32.76057398
664,221.0166667,16,9.842217,32.83010208
665,221.35,16,9.958117,33.21670287
666,221.6833333,17,10.38167,34.6295236
667,222.0166667,16,9.837638,32.81482818
668,222.35,16,9.828951,32.78585147
669,222.6833333,16,9.876795,32.94544188
670,223.0166667,17,10.37918,34.62121786
671,223.35,16,9.866824,32.9121822
672,223.6833333,16,9.828242,32.7834865
673,224.0166667,16,9.849051,32.85289785
674,224.35,16,9.967344,33.24748083
675,224.6833333,17,10.38128,34.6282227
676,225.0166667,16,9.840917,32.82576575
677,225.35,16,9.833725,32.80177582
678,225.6833333,16,9.878923,32.95254012
