NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
924,21,1,43
924,22,1,62
924,23,1,52
924,24,1,62
924,25,1,62
924,26,1,52
924,27,1,46
924,28,1,50
924,29,1,52
924,30,1,40
924,31,1,53
924,32,1,44
924,33,1,55
924,34,1,60
924,35,1,46
924,36,1,37
924,37,1,56
924,38,1,52
924,39,1,43
924,40,1,44
924,41,1,46
924,42,1,50
924,43,1,58
924,44,1,51
924,45,1,48
924,46,1,49
924,47,1,31
924,48,1,39
924,49,1,50
924,50,1,45
924,51,1,48
924,52,1,49
924,53,1,48
924,54,1,37
924,55,1,62
924,56,1,53
924,57,1,49
924,58,1,52
924,59,1,57
924,60,1,49
924,61,1,50
924,62,1,51
924,63,1,37
924,64,1,51
924,65,1,44
924,66,1,62
924,67,1,43
924,68,1,52
924,69,1,47
924,70,1,40
924,71,1,48
924,72,1,60
924,73,1,51
924,74,1,45
924,75,1,50
924,76,1,44
924,77,1,61
924,78,1,45
924,79,1,59
924,80,1,50
924,81,1,49
924,82,1,55
924,83,1,58
924,84,1,42
924,85,1,38
924,86,1,51
924,87,1,59
924,88,1,40
924,89,1,50
924,90,1,51
924,91,1,53
924,92,1,60
924,93,1,44
924,94,1,50
924,95,1,51
924,96,1,39
924,97,1,42
924,98,1,53
924,99,1,46
858,0,1,83
858,1,1,64
858,2,1,78
858,3,1,61
858,4,1,80
858,5,1,69
858,6,1,85
858,7,1,88
858,8,1,72
858,9,1,83
858,10,1,63
858,11,1,85
858,12,1,78
858,13,1,56
858,14,1,69
858,15,1,80
858,16,1,72
858,17,1,77
858,18,1,73
858,19,1,83
858,20,1,87
858,21,1,70
858,22,1,63
858,23,1,85
858,24,1,72
858,25,1,69
858,26,1,66
858,27,1,88
858,28,1,74
858,29,1,66
858,30,1,81
858,31,1,74
858,32,1,62
858,33,1,77
858,34,1,75
858,35,1,86
858,36,1,72
858,37,1,73
858,38,1,71
858,39,1,84
858,40,1,79
858,41,1,86
858,42,1,75
858,43,1,71
858,44,1,75
858,45,1,66
858,46,1,64
858,47,1,51
858,48,1,72
858,49,1,86
858,50,1,72
858,51,1,80
858,52,1,79
858,53,1,82
858,54,1,75
858,55,1,75
858,56,1,83
858,57,1,85
858,58,1,97
858,59,1,80
858,60,1,73
858,61,1,74
858,62,1,69
858,63,1,65
858,64,1,76
858,65,1,76
858,66,1,78
858,67,1,80
858,68,1,76
858,69,1,65
858,70,1,72
858,71,1,66
858,72,1,69
858,73,1,58
858,74,1,87
858,75,1,68
858,76,1,78
858,77,1,83
858,78,1,80
858,79,1,68
858,80,1,76
858,81,1,82
858,82,1,67
858,83,1,71
858,84,1,74
858,85,1,74
858,86,1,67
858,87,1,82
858,88,1,72
858,89,1,75
858,90,1,65
858,91,1,80
858,92,1,84
858,93,1,66
858,94,1,70
858,95,1,80
858,96,1,81
858,97,1,83
858,98,1,66
858,99,1,78
792,0,1,96
792,1,1,99
792,2,1,104
792,3,1,91
792,4,1,112
792,5,1,108
792,6,1,103
792,7,1,110
792,8,1,109
792,9,1,94
792,10,1,112
792,11,1,99
792,12,1,96
792,13,1,92
792,14,1,97
792,15,1,99
792,16,1,96
792,17,1,102
792,18,1,91
792,19,1,97
792,20,1,101
792,21,1,99
792,22,1,95
792,23,1,107
792,24,1,99
792,25,1,103
792,26,1,86
792,27,1,104
792,28,1,104
792,29,1,116
792,30,1,117
792,31,1,98
792,32,1,126
792,33,1,114
792,34,1,111
792,35,1,105
792,36,1,89
792,37,1,109
792,38,1,106
792,39,1,100
792,40,1,92
792,41,1,102
792,42,1,94
792,43,1,97
792,44,1,104
792,45,1,97
792,46,1,86
792,47,1,108
792,48,1,106
792,49,1,95
792,50,1,96
792,51,1,112
792,52,1,100
792,53,1,89
792,54,1,89
792,55,1,98
792,56,1,108
792,57,1,102
792,58,1,109
792,59,1,102
792,60,1,93
792,61,1,87
792,62,1,104
792,63,1,82
792,64,1,76
792,65,1,109
792,66,1,105
792,67,1,117
792,68,1,96
792,69,1,113
792,70,1,110
792,71,1,111
792,72,1,101
792,73,1,88
792,74,1,110
792,75,1,116
792,76,1,105
792,77,1,101
792,78,1,93
792,79,1,109
792,80,1,115
792,81,1,92
792,82,1,95
792,83,1,96
792,84,1,99
792,85,1,104
792,86,1,101
792,87,1,103
792,88,1,100
792,89,1,102
792,90,1,106
792,91,1,114
792,92,1,99
792,93,1,111
792,94,1,113
792,95,1,117
792,96,1,113
792,97,1,104
792,98,1,113
792,99,1,126
726,0,1,145
726,1,1,130
726,2,1,122
726,3,1,130
726,4,1,132
726,5,1,132
726,6,1,141
726,7,1,126
726,8,1,134
726,9,1,137
726,10,1,126
726,11,1,145
726,12,1,139
726,13,1,122
726,14,1,121
726,15,1,125
726,16,1,141
726,17,1,131
726,18,1,136
726,19,1,129
726,20,1,150
726,21,1,127
726,22,1,139
726,23,1,127
726,24,1,150
726,25,1,128
726,26,1,115
726,27,1,130
726,28,1,113
726,29,1,147
726,30,1,134
726,31,1,116
726,32,1,143
726,33,1,127
726,34,1,139
726,35,1,148
726,36,1,118
726,37,1,128
726,38,1,127
726,39,1,133
726,40,1,121
726,41,1,142
726,42,1,154
726,43,1,138
726,44,1,114
726,45,1,143
726,46,1,132
726,47,1,124
726,48,1,136
726,49,1,141
726,50,1,146
726,51,1,111
726,52,1,115
726,53,1,146
726,54,1,154
726,55,1,115
726,56,1,121
726,57,1,116
726,58,1,151
726,59,1,135
726,60,1,118
726,61,1,135
726,62,1,145
726,63,1,143
726,64,1,150
726,65,1,138
726,66,1,134
726,67,1,128
726,68,1,115
726,69,1,117
726,70,1,123
726,71,1,127
726,72,1,148
726,73,1,118
726,74,1,138
726,75,1,133
726,76,1,106
726,77,1,137
726,78,1,122
726,79,1,121
726,80,1,125
726,81,1,128
726,82,1,122
726,83,1,128
726,84,1,145
726,85,1,142
726,86,1,141
726,87,1,124
726,88,1,128
726,89,1,140
726,90,1,135
726,91,1,124
726,92,1,135
726,93,1,139
726,94,1,126
726,95,1,130
726,96,1,144
726,97,1,132
726,98,1,135
726,99,1,135
660,0,1,151
660,1,1,163
660,2,1,145
660,3,1,154
660,4,1,161
660,5,1,166
660,6,1,152
660,7,1,161
660,8,1,160
660,9,1,161
660,10,1,149
660,11,1,160
660,12,1,150
660,13,1,174
660,14,1,159
660,15,1,159
660,16,1,149
660,17,1,164
660,18,1,173
660,19,1,153
660,20,1,151
660,21,1,156
660,22,1,172
660,23,1,157
660,24,1,169
660,25,1,140
660,26,1,162
660,27,1,165
660,28,1,159
660,29,1,172
660,30,1,163
660,31,1,183
660,32,1,171
660,33,1,164
660,34,1,166
660,35,1,160
660,36,1,155
660,37,1,164
660,38,1,156
660,39,1,178
660,40,1,140
660,41,1,148
660,42,1,149
660,43,1,161
660,44,1,168
660,45,1,153
660,46,1,164
660,47,1,159
660,48,1,152
660,49,1,150
660,50,1,140
660,51,1,157
660,52,1,173
660,53,1,155
660,54,1,151
660,55,1,161
660,56,1,161
660,57,1,159
660,58,1,167
660,59,1,147
660,60,1,143
660,61,1,160
660,62,1,166
660,63,1,159
660,64,1,164
660,65,1,139
660,66,1,169
660,67,1,142
660,68,1,175
660,69,1,173
660,70,1,171
660,71,1,160
660,72,1,154
660,73,1,148
660,74,1,168
660,75,1,165
660,76,1,148
660,77,1,161
660,78,1,156
660,79,1,142
660,80,1,176
660,81,1,156
660,82,1,153
660,83,1,163
660,84,1,144
660,85,1,145
660,86,1,157
660,87,1,172
660,88,1,161
660,89,1,159
660,90,1,152
660,91,1,146
660,92,1,139
660,93,1,145
660,94,1,149
660,95,1,152
660,96,1,159
660,97,1,163
660,98,1,170
660,99,1,154
594,0,1,174
594,1,1,183
594,2,1,176
594,3,1,191
594,4,1,190
594,5,1,177
594,6,1,196
594,7,1,179
594,8,1,178
594,9,1,172
594,10,1,174
594,11,1,165
594,12,1,189
594,13,1,209
594,14,1,158
594,15,1,162
594,16,1,150
594,17,1,188
594,18,1,166
594,19,1,170
594,20,1,197
594,21,1,177
594,22,1,182
594,23,1,179
594,24,1,190
594,25,1,177
594,26,1,178
594,27,1,201
594,28,1,168
594,29,1,174
594,30,1,190
594,31,1,184
594,32,1,185
594,33,1,194
594,34,1,168
594,35,1,171
594,36,1,200
594,37,1,156
594,38,1,192
594,39,1,203
594,40,1,168
594,41,1,173
594,42,1,180
594,43,1,170
594,44,1,200
594,45,1,186
594,46,1,178
594,47,1,192
594,48,1,155
