time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
64,0.5465335,-0.06799351,-0.6837457,-2.539448E-08,-0.03928778,-0.6572684,-0.7401379,-0.08935674,-0.7424654,0.6701177,-0.04231545,-0.03874122,-0.8530086,-0.06586048,-0.09539653,0.7885235,-0.07257012,0.6080241,-2.230036E-07,-0.04067591,0.6570216,-0.9589592,-0.09804676,0.5525087
65,0.4578237,-0.03563535,-0.6779841,2.873804E-08,-0.02954463,-0.6565145,-0.6567086,-0.06631205,-0.7385849,0.5842348,-0.02166452,-0.03201292,-0.7756257,-0.03290397,-0.09182972,0.7055845,-0.06366885,0.6126073,-9.82773E-09,-0.02657622,0.6568943,-0.8857077,-0.07717393,0.5555646
66,0.3681271,-0.05234846,-0.6693773,2.883294E-08,-0.03541542,-0.657489,-0.5726945,-0.07099999,-0.7326996,0.4982753,-0.02409402,-0.02566686,-0.6947111,-0.04541701,-0.08744652,0.6246061,-0.05314536,0.6198902,3.776907E-08,-0.03941946,0.656813,-0.8111511,-0.07566834,0.558883
67,0.2767722,-0.02671868,-0.6616337,-6.519329E-08,-0.03057963,-0.6564382,-0.4853249,-0.04971689,-0.7268318,0.4088221,-0.01027453,-0.01710441,-0.6117107,-0.0184656,-0.08138341,0.5372738,-0.04989102,0.6262119,-7.942447E-09,-0.02554858,0.6570696,-0.7314208,-0.06081581,0.5641956
68,0.184324,-0.04123158,-0.6521178,-1.09848E-07,-0.03198365,-0.6576641,-0.3963555,-0.05597736,-0.7189083,0.3187077,-0.01025116,-0.009273086,-0.5253145,-0.02804736,-0.07513824,0.4505304,-0.04120175,0.6350939,-7.106068E-08,-0.03830757,0.6566642,-0.6501296,-0.05608319,0.5698774
69,0.08985046,-0.022719,-0.6428052,-6.762565E-08,-0.03180138,-0.6563793,-0.3043989,-0.03645422,-0.7113622,0.2252512,-0.003351626,0.0006884014,-0.4362611,-0.007581934,-0.06689928,0.3586009,-0.04009743,0.6431236,5.049728E-09,-0.02434096,0.657318,-0.5635617,-0.04742031,0.5771508
70,-0.004774623,-0.03431279,-0.632909,-7.736304E-09,-0.02757253,-0.6578669,-0.2111662,-0.04460205,-0.7017962,0.131514,-8.448288E-05,0.009584317,-0.3448638,-0.01367088,-0.05912684,0.266751,-0.03367189,0.6531136,2.433291E-08,-0.03688285,0.6565138,-0.4759594,-0.03881591,0.5850043
71,-0.09857899,-0.02379381,-0.6229179,1.200838E-07,-0.03303477,-0.6563554,-0.118065,-0.02764157,-0.6932911,0.03777555,-0.00135349,0.02005092,-0.2533234,-0.0009234683,-0.0494392,0.1736642,-0.03504302,0.6621083,4.23789E-08,-0.02312691,0.6576037,-0.3859607,-0.03792591,0.593505
72,-0.1939677,-0.03256643,-0.6132306,0,-0.02309175,-0.6580364,-0.02217927,-0.03803194,-0.682667,-0.05822615,0.004992028,0.0294653,-0.1582086,-0.003863585,-0.04059832,0.07829212,-0.03119085,0.6725832,5.488229E-08,-0.03543949,0.6564147,-0.2932345,-0.02584866,0.6031407
73,-0.2860824,-0.03035793,-0.6032252,7.169584E-08,-0.03440164,-0.6563689,0.07130558,-0.02368687,-0.6737854,-0.1512079,-0.004696788,0.03973652,-0.06521374,0.0006227953,-0.03011036,-0.01519231,-0.03514392,0.6819599,-1.799229E-07,-0.02178836,0.6579656,-0.2008453,-0.03320345,0.6122149
74,-0.3766747,-0.0367208,-0.5947403,4.810659E-07,-0.02171544,-0.657983,0.1639659,-0.03708689,-0.6631984,-0.2438578,0.00358771,0.04860776,0.02803282,-0.0001024965,-0.0211955,-0.1082112,-0.0337527,0.6918458,2.31897E-07,-0.03447645,0.6563743,-0.1084608,-0.01930356,0.622552
75,-0.466672,-0.04112581,-0.5853935,3.547805E-07,-0.03547976,-0.6564136,0.2575226,-0.02767071,-0.6542271,-0.3356195,-0.01267349,0.05811427,0.1219825,-0.002370636,-0.01053241,-0.2018705,-0.04027123,0.7010027,2.792315E-07,-0.02321787,0.6580352,-0.0142249,-0.03325737,0.6317142
76,-0.5549033,-0.04504802,-0.5782703,-2.23977E-07,-0.0229429,-0.6576537,0.3492596,-0.04094983,-0.6442191,-0.42737,-0.002038828,0.06627557,0.2158155,-0.0008829081,-0.001748359,-0.2947457,-0.04139447,0.7100097,-6.775852E-08,-0.03322304,0.6563517,0.08018488,-0.02045316,0.6422786
